Subject,Set,Distance,Comparison
P10,SetA,0.7322341,Between
P11,SetA,0.7214454,Between
P12,SetA,0.7182065,Between
P13,SetA,0.7432395,Between
P14,SetA,0.7757335,Between
P15,SetA,0.7077431,Between
P16,SetA,0.6455573,Between
P17,SetA,0.6559157,Between
P18,SetA,0.6688975,Between
P19,SetA,0.6889013,Between
P20,SetA,0.6643603,Between
P21,SetA,0.6872603,Between
P22,SetA,0.6939594,Between
P23,SetA,0.7036711,Between
P24,SetA,0.732505,Between
P25,SetA,0.6628157,Between
P26,SetA,0.7119522,Between
P27,SetA,0.6887815,Between
P28,SetA,0.6861723,Between
P29,SetA,0.7101858,Between
P30,SetA,0.7032461,Between
P31,SetA,0.7050289,Between
P32,SetA,0.7165376,Between
P34,SetA,0.7361659,Between
P35,SetA,0.7423996,Between
P36,SetA,0.7157989,Between
P37,SetA,0.718681,Between
P38,SetA,0.744769,Between
P39,SetA,0.6771893,Between
P40,SetA,0.6733527,Between
P41,SetA,0.7007523,Between
P42,SetA,0.6875538,Between
P43,SetA,0.666455,Between
P01,SetC,0.723368,Between
P02,SetC,0.728886,Between
P03,SetC,0.7300147,Between
P04,SetC,0.7141198,Between
P05,SetC,0.7421311,Between
P06,SetC,0.7388009,Between
P07,SetC,0.7456116,Between
P08,SetC,0.7462461,Between
P09,SetC,0.7156543,Between
P10,SetC,0.7262787,Between
P11,SetC,0.7410145,Between
P12,SetC,0.7434375,Between
P13,SetC,0.7174587,Between
P14,SetC,0.7445892,Between
P15,SetC,0.7390704,Between
P16,SetC,0.7138408,Between
P17,SetC,0.7333231,Between
P18,SetC,0.7197836,Between
P19,SetC,0.7417941,Between
P20,SetC,0.729851,Between
P21,SetC,0.7071444,Between
P22,SetC,0.7754808,Between
P23,SetC,0.7976246,Between
P24,SetC,0.7924614,Between
P25,SetC,0.728595,Between
P26,SetC,0.7805822,Between
P27,SetC,0.7601415,Between
P28,SetC,0.7942387,Between
P29,SetC,0.7861457,Between
P30,SetC,0.7811814,Between
P31,SetC,0.7754325,Between
P32,SetC,0.7946552,Between
P34,SetC,0.7887586,Between
