contig_id,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species
k127_131797,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_9150757,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_999479,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_3148196,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_573359,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Andhravirus,Staphylococcus phage JBug18
k127_6587927,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Sextaecvirus,Staphylococcus phage vB_SepS_SEP9
k127_12160826,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_11312888,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_14763193,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus phage CSA13
k127_7879114,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_10026275,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_4874812,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Sepunavirus,Staphylococcus phage Twillingate
k127_7452931,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_578566,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Picovirinae,Negarvirus,Lactococcus phage WP-2
k127_11319222,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Bacteriophage sp.
k127_11750739,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus phage BP39
k127_10894566,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_7885927,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME1354_01
k127_7039046,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Andhravirus,Staphylococcus phage Andhra
k127_7459182,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Streptococcus phage Javan290
k127_3160539,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Vieuvirus,Acinetobacter phage AM106
k127_4040380,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_10901665,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME1318_01
k127_1871712,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Ceduovirus,Lactococcus phage CHPC967
k127_5742330,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_3611666,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_2312508,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Streptococcus phage Javan190
k127_13905426,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Sextaecvirus,Staphylococcus virus Sextaec
k127_4048998,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_3615442,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Streptococcus phage Javan350
k127_13466587,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage SAP090D
k127_1877333,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus,Staphylococcus phage Stab20
k127_9617993,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured human fecal virus
k127_12185411,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME1323_01
