ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species
AP000400.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Enterobacteria phage VT1-Sakai
AP000422.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Enterobacteria phage VT2-Sakai
AF234173.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Punavirus,Escherichia virus P1
AF234172.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Punavirus,Escherichia virus P1
AF424783.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Biseptimavirus,Staphylococcus virus 13
AJ000741.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Punavirus,Escherichia virus P1
DQ394810.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Lactococcus phage phismq86
DQ394809.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Lactococcus phage ul36.t1k1
DQ394808.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Lactococcus phage ul36.t1
DQ394807.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Lactococcus phage ul36.k1t1
DQ394806.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Lactococcus phage ul36.k1
AF503408.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Punavirus,Escherichia virus P1
FN582354.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Enterobacteria phage phi80
HI005014.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Picovirinae,Unclassified Picovirinae,Bacillus virus phi29
HI551617.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Teseptimavirus,Escherichia phage T7
DQ908929.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus 80
DQ517338.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage 80alpha
HM242243.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Unclassified Herelleviridae,Unclassified Herelleviridae,Brochothrix virus A9
FJ188381.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Stx2-converting phage 1717
U82084.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Shigella phage SfX
U01068.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Skunavirus,Lactococcus virus sk1
J01735.1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Lambdavirus,Escherichia virus Lambda
