ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Serotype,Isolate
MT217897.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP253641
MT217896.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP253032
MT217895.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP252376
MT217894.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP252338
MT217893.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP251935
MT217892.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP250977
MT217891.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP250643
MT217890.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP250625
MT217889.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP250493
MT217888.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP250359
MT217887.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP250049
MT217886.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP249992
MT217885.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP249847
MT217884.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP249541
MT217883.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP249409
MT217882.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP249014
MT217881.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP248757
MT217880.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP248461
MT217879.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP248412
MT217878.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP247716
MT217877.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP246382
MT217876.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP246092
MT217875.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP246029
MT217874.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP246010
MT217873.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP245766
MT217872.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP245361
MT217871.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP244670
MT217870.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP244424
MT217869.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP243917
MT217868.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP243556
MT217867.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP243057
MT217866.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP243024
MT217865.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP242735
MT217864.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP242624
MT217863.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP241891
MT217862.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP241579
MT217861.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP239961
MT217860.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP239364
MT217859.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP239341
MT217858.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP239147
MT217857.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP238810
MT217856.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP238735
MT217855.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP238082
MT217854.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP238024
MT217853.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP238003
MT217852.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP237921
MT217851.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP237674
MT217850.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP237659
MT217849.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP237637
MT217848.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP236520
MT217847.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP235057
MT217846.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP233874
MT217845.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP233222
MT217844.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP232835
MT217843.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP232461
MT217842.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP232069
MT217841.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP232017
MT217840.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP231741
MT217839.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP231223
MT217838.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP230797
MT217837.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP230668
MT217836.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP230375
MT217835.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP230004
MT217834.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP229485
MT217833.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP229165
MT217832.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP227939
MT217831.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP227631
MT217830.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP227088
MT217829.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP226938
MT217828.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP226918
MT217827.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP226804
MT217826.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP226580
MT217825.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP226337
MT217824.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP225929
MT217823.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP224833
MT217822.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP224635
MT217821.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP223907
MT217820.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP223831
MT217819.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP223443
MT217818.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP223225
MT217817.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP223082
MT217816.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP222345
MT217815.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP222200
MT217814.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP221283
MT217813.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP221207
MT217812.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP220950
MT217811.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP220692
MT217810.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP220675
MT217809.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP220520
MT217808.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP220010
MT217807.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP218953
MT217806.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP218515
MT217805.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP218366
MT217804.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP218328
MT217803.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP218290
MT217802.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP217913
MT217801.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP217789
MT217800.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP217512
MT217799.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP217269
MT217798.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP217032
MT217797.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP216538
MT217796.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP215866
MT217795.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP215523
MT217794.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 35,Human papillomavirus type 35 isolate PAP215180
