ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Serotype,Isolate
MT783415.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 13,Human papillomavirus type 54,Human papillomavirus type 54 strain kyd-s0354
MT783414.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 52,Human papillomavirus 52 strain kyd-s0352
MT783413.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 52,Human papillomavirus 52 strain kyd-n0252
MT783412.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 5,Human papillomavirus type 51,Human papillomavirus 51 strain kyd-s0251
MT783411.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 1,Human papillomavirus type 42,Human papillomavirus 42 strain kyd-s0442
MT783410.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 16,Human papillomavirus type 16 strain kyd-s0216
MT783409.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 9,Human papillomavirus type 16,Human papillomavirus type 16 strain kyd-n0116
MT783408.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 10,Human papillomavirus type 6,Human papillomavirus type 6 strain kyd-n0106
LC514113.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Xipapillomavirus,Xipapillomavirus 1,Bos taurus papillomavirus 29,Bos taurus papillomavirus 29 B191016
MT265226.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Chipapillomavirus,Chipapillomavirus 1,Canis familiaris papillomavirus 9,Canis familiaris papillomavirus 9 isolate UT
MT265225.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Chipapillomavirus,Chipapillomavirus 1,Canis familiaris papillomavirus 9,Canis familiaris papillomavirus 9 isolate ABU
MT774143.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,Deltapapillomavirus 5,Capreolus capreolus papillomavirus 1,Capreolus capreolus papillomavirus 1 strain 84-14
