contig,HV_001_01,HV_001_02,HV_001_03,HV_001_04,HV_001_05,HV_001_06,HV_001_07,HV_001_08,HV_001_09,HV_001_10,HV_001_11,HV_001_12,HV_001_13,HV_001_14,HV_001_15,HV_001_16,HV_001_18,HV_001_19,HV_001_20,HV_001_21,HV_001_22,HV_002_01,HV_002_02,HV_002_03,HV_002_04,HV_002_05,HV_002_06,HV_002_07,HV_002_08,HV_002_09,HV_002_10,HV_002_11,HV_002_12,HV_002_13,HV_002_14,HV_002_15,HV_002_18,HV_002_19,HV_002_20,HV_002_21,HV_002_22,HV_003_01,HV_003_02,HV_003_03,HV_003_04,HV_003_05,HV_003_06,HV_003_07,HV_003_08,HV_003_09,HV_003_10,HV_003_11,HV_003_12,HV_003_13,HV_003_14,HV_003_15,HV_003_16,HV_003_18,HV_003_19,HV_003_20,HV_003_21,HV_003_22,HV_004_01,HV_004_02,HV_004_03,HV_004_04,HV_004_05,HV_004_06,HV_004_07,HV_004_08,HV_004_09,HV_004_10,HV_004_11,HV_004_12,HV_004_13,HV_004_14,HV_004_15,HV_004_16,HV_004_18,HV_004_19,HV_004_20,HV_004_21,HV_004_22,HV_005_01,HV_005_03,HV_005_04,HV_005_05,HV_005_06,HV_005_07,HV_005_08,HV_005_09,HV_005_10,HV_005_11,HV_005_12,HV_005_13,HV_005_14,HV_005_15,HV_005_16,HV_005_18,HV_005_19,HV_005_20,HV_005_22,HV_006_01,HV_006_02,HV_006_03,HV_006_04,HV_006_05,HV_006_06,HV_006_07,HV_006_08,HV_006_09,HV_006_10,HV_006_11,HV_006_12,HV_006_13,HV_006_14,HV_006_15,HV_006_16,HV_006_18,HV_006_19,HV_006_20,HV_006_21,HV_006_22,HV_007_01,HV_007_02,HV_007_03,HV_007_04,HV_007_05,HV_007_06,HV_007_07,HV_007_08,HV_007_09,HV_007_10,HV_007_11,HV_007_12,HV_007_13,HV_007_14,HV_007_15,HV_007_16,HV_007_18,HV_007_19,HV_007_20,HV_007_21,HV_007_22,HV_008_01,HV_008_02,HV_008_03,HV_008_04,HV_008_05,HV_008_06,HV_008_07,HV_008_08,HV_008_09,HV_008_10,HV_008_11,HV_008_12,HV_008_13,HV_008_14,HV_008_15,HV_008_16,HV_008_18,HV_008_19,HV_008_20,HV_008_21,HV_008_22,HV_009_01,HV_009_03,HV_009_04,HV_009_05,HV_009_06,HV_009_07,HV_009_08,HV_009_09,HV_009_10,HV_009_11,HV_009_12,HV_009_13,HV_009_14,HV_009_15,HV_009_16,HV_009_18,HV_009_19,HV_009_20,HV_009_21,HV_009_22,HV_010_01,HV_010_02,HV_010_03,HV_010_04,HV_010_05,HV_010_06,HV_010_07,HV_010_08,HV_010_09,HV_010_10,HV_010_11,HV_010_12,HV_010_13,HV_010_14,HV_010_15,HV_010_16,HV_010_18,HV_010_19,HV_010_20,HV_010_21,HV_010_22,HV_011_01,HV_011_02,HV_011_03,HV_011_04,HV_011_05,HV_011_06,HV_011_07,HV_011_08,HV_011_09,HV_011_10,HV_011_11,HV_011_12,HV_011_13,HV_011_14,HV_011_15,HV_011_16,HV_011_18,HV_011_19,HV_011_20,HV_011_21,HV_011_22,HV_012_01,HV_012_02,HV_012_03,HV_012_04,HV_012_05,HV_012_06,HV_012_07,HV_012_08,HV_012_09,HV_012_10,HV_012_11,HV_012_12,HV_012_13,HV_012_14,HV_012_15,HV_012_16,HV_012_18,HV_012_19,HV_012_20,HV_012_21,HV_012_22,HV_013_01,HV_013_02,HV_013_03,HV_013_04,HV_013_05,HV_013_07,HV_013_08,HV_013_09,HV_013_10,HV_013_11,HV_013_12,HV_013_13,HV_013_14,HV_013_15,HV_013_16,HV_013_18,HV_013_19,HV_013_20,HV_013_21,HV_013_22,HV_014_01,HV_014_02,HV_014_03,HV_014_04,HV_014_05,HV_014_06,HV_014_07,HV_014_08,HV_014_09,HV_014_10,HV_014_11,HV_014_12,HV_014_13,HV_014_14,HV_014_15,HV_014_16,HV_014_18,HV_014_19,HV_014_20,HV_014_21,HV_014_22,HV_015_01,HV_015_02,HV_015_03,HV_015_04,HV_015_05,HV_015_06,HV_015_07,HV_015_08,HV_015_09,HV_015_10,HV_015_11,HV_015_12,HV_015_13,HV_015_14,HV_015_15,HV_015_16,HV_015_18,HV_015_19,HV_015_20,HV_015_21,HV_016_01,HV_016_02,HV_016_03,HV_016_04,HV_016_05,HV_016_06,HV_016_07,HV_016_08,HV_016_09,HV_016_10,HV_016_11,HV_016_12,HV_016_13,HV_016_14,HV_016_15,HV_016_16,HV_016_18,HV_016_19,HV_016_20,HV_016_21,HV_016_22,HV_017_01,HV_017_02,HV_017_03,HV_017_04,HV_017_05,HV_017_06,HV_017_07,HV_017_08,HV_017_09,HV_017_10,HV_017_11,HV_017_12,HV_017_13,HV_017_14,HV_017_15,HV_017_16,HV_017_18,HV_017_19,HV_017_20,HV_017_21,HV_017_22,HV_018_01,HV_018_02,HV_018_03,HV_018_04,HV_018_05,HV_018_06,HV_018_07,HV_018_08,HV_018_09,HV_018_10,HV_018_11,HV_018_12,HV_018_13,HV_018_14,HV_018_15,HV_018_16,HV_018_18,HV_018_19,HV_018_20,HV_018_21,HV_018_22,HV_019_01,HV_019_02,HV_019_03,HV_019_04,HV_019_05,HV_019_06,HV_019_07,HV_019_08,HV_019_09,HV_019_10,HV_019_11,HV_019_12,HV_019_13,HV_019_14,HV_019_15,HV_019_16,HV_019_18,HV_019_19,HV_019_20,HV_019_21,HV_019_22,HV_020_01,HV_020_02,HV_020_03,HV_020_04,HV_020_05,HV_020_06,HV_020_07,HV_020_08,HV_020_09,HV_020_10,HV_020_11,HV_020_12,HV_020_13,HV_020_14,HV_020_15,HV_020_16,HV_020_18,HV_020_19,HV_020_20,HV_020_21,HV_020_22,HV_021_01,HV_021_02,HV_021_03,HV_021_04,HV_021_05,HV_021_06,HV_021_07,HV_021_08,HV_021_09,HV_021_10,HV_021_11,HV_021_12,HV_021_13,HV_021_14,HV_021_15,HV_021_16,HV_021_18,HV_021_19,HV_021_20,HV_021_21,HV_021_22,HV_022_01,HV_022_02,HV_022_03,HV_022_04,HV_022_05,HV_022_06,HV_022_07,HV_022_08,HV_022_09,HV_022_10,HV_022_11,HV_022_12,HV_022_13,HV_022_14,HV_022_15,HV_022_16,HV_022_18,HV_022_19,HV_022_20,HV_022_21,HV_022_22,HV_023_01,HV_023_02,HV_023_03,HV_023_04,HV_023_05,HV_023_06,HV_023_07,HV_023_08,HV_023_09,HV_023_10,HV_023_11,HV_023_12,HV_023_13,HV_023_14,HV_023_15,HV_023_16,HV_023_18,HV_023_19,HV_023_20,HV_023_21,HV_023_22,HV_024_01,HV_024_02,HV_024_03,HV_024_04,HV_024_05,HV_024_06,HV_024_07,HV_024_08,HV_024_09,HV_024_10,HV_024_11,HV_024_12,HV_024_13,HV_024_14,HV_024_15,HV_024_16,HV_024_18,HV_024_19,HV_024_20,HV_024_21,HV_024_22,HV_025_01,HV_025_02,HV_025_03,HV_025_04,HV_025_05,HV_025_06,HV_025_07,HV_025_08,HV_025_09,HV_025_10,HV_025_11,HV_025_12,HV_025_13,HV_025_14,HV_025_15,HV_025_16,HV_025_18,HV_025_19,HV_025_20,HV_025_21,HV_025_22,HV_026_01,HV_026_02,HV_026_03,HV_026_04,HV_026_05,HV_026_06,HV_026_07,HV_026_08,HV_026_09,HV_026_10,HV_026_11,HV_026_12,HV_026_13,HV_026_14,HV_026_15,HV_026_16,HV_026_18,HV_026_19,HV_026_20,HV_026_21,HV_026_22,HV_027_01,HV_027_02,HV_027_03,HV_027_04,HV_027_05,HV_027_06,HV_027_07,HV_027_08,HV_027_09,HV_027_10,HV_027_11,HV_027_12,HV_027_13,HV_027_14,HV_027_15,HV_027_16,HV_027_18,HV_027_19,HV_027_20,HV_027_21,HV_027_22,HV_028_01,HV_028_02,HV_028_03,HV_028_04,HV_028_05,HV_028_06,HV_028_07,HV_028_08,HV_028_09,HV_028_10,HV_028_11,HV_028_12,HV_028_13,HV_028_14,HV_028_15,HV_028_16,HV_028_18,HV_028_19,HV_028_20,HV_028_21,HV_028_22,HV_029_01,HV_029_02,HV_029_03,HV_029_04,HV_029_05,HV_029_06,HV_029_07,HV_029_08,HV_029_09,HV_029_10,HV_029_11,HV_029_12,HV_029_13,HV_029_14,HV_029_15,HV_029_16,HV_029_18,HV_029_19,HV_029_20,HV_029_21,HV_029_22,HV_030_01,HV_030_02,HV_030_03,HV_030_04,HV_030_05,HV_030_06,HV_030_07,HV_030_08,HV_030_09,HV_030_10,HV_030_11,HV_030_12,HV_030_13,HV_030_14,HV_030_15,HV_030_16,HV_030_18,HV_030_19,HV_030_20,HV_030_21,HV_030_22
NC_002976.3,5433,0,6489,5873,88056,21291,12222,249448,68380,124846,46223,6474,7950,3578,18290,2956,2525,148,8231,6523,78922,45707,41461,25344,28516,9552,16381,37290,14453,6262,17439,44773,122861,920,973,16145,4753,23661,105868,3695,183500,43183,97993,11650,1851,1117,111416,9271,4869,181192,37970,114382,88333,66729,22472,14,466,207,358814,7973,7821,76881,5830,170,9249,697273,9386,4061,142,61035,14741,93,5403,6024,150,4361,174,123,235,4989,70319,3948,127882,6816,1644,126,1080,110907,147435,19366,248359,327,13715,74023,12667,5507,22232,136,129,3235,25272,46641,176,311,18713,26213,22032,2014,685,54327,46055,289631,84131,62152,12467,43982,53,16722,5045,20318,8497,346,469,95,557,2748,153229,6838,12225,18335,71625,27190,4494,26831,3366,29633,22713,14825,59,74,2850,1703,8068,702,117,220,247,20065,86517,21796,5667,23740,4687,186047,817785,183385,4968,41164,2784,1845,5715,39204,45027,32317,2474,416,29428,17053,52313,75249,10081,61921,39155,221,361,41,19766,14919,4691,2893,5859,7655,44,789,6000,1114,252,20037,6428,67249,30806,128512,71303,167100,280848,118068,169858,1444,2068,19421,152319,58537,12246,11412,67918,26598,657,3570,1041,15312,45949,283116,36443,57186,134330,21027,12912,9051,91983,13070,7373,55279,116321,36434,62001,171635,6969,1594,73713,598,96981,38172,855973,25273,7814,50438,1005,297,346,18106,704,3835,21933,18880,17855,3327,371954,65007,585,374,2596,180166,21669,12092,3477,55519,100,74,886,781,6381,17344,3677,1172,3572,80392,17257,34119,41701,212,1551,5746,3082,319620,5772,3072,97044,2440,485,137942,19032,651,3542,27321,34868,11307,565853,111887,6293,4285,198458,10838,298,3020,382938,245,162,158,7631,53584,1270,167839,69128,25117,27922,7805,2385,27261,5544,9269,116730,335,34358,156352,62763,23044,10218,65201,6597,10906,19941,23225,46312,38141,109750,21857,175,5118,48128,287,46320,19763,1045,55326,241,60269,121,5693,1582,51364,11984,22608,7614,60536,4579,13330,2175,9993,1301,13516,2786,23693,779762,795,27745,108351,143998,1604,3487,50727,31884,174981,45232,133740,47172,532236,78607,131474,5460,24430,3624,6390,1600,229,544874,1271,524,5273,321,481,397,440,320188,383,476,5240,238,47853,222708,4940,542,334,379,38372,14501,141,940,132,52,4189,6585,33,9936,1140,2696,833,1171,35296,4041,14055,3437,7254,56,6221,2064,80293,284,6229,2168,199,484,328,100,15792,164,409,309,171,2226,18196,270,352,900862,272,526,12682,380620,16201,10386,13699,2256,485,5753,600,19694,24608,1354,126511,123251,1047,362,718,1017,3011,365,589,1836,390908,10490,5851,23533,623,372,220955,1361,510,402011,79033,418,2528,6824,631,84868,608,89063,601,712,12576,254,185267,20640,23326,4809,126,2661,135,20548,287,3645,1533,1109,51109,907,32585,300,162,330,21861,364,307056,192640,199125,126845,5532,753,755,468,2664,12386,463929,32650,651,2520,761,5275,935,456,503,1571,23067,20,9026,3647,2039,1233,1533,4200,21836,32,44,16,1359,1770,111930,35,5322,48,25,90,152,298,453,334,638,1105,34736,43259,85357,280,589,29506,63221,131583,2286,30440,746,123598,2361,51985,14419,204248,12127,719,95,13000,67,2168,4785,105048,2449,58,66056,235,63756,185,33392,167,101227,65,148,2864,92,86,75,805,19144,224,102952,17817,10035,96,28872,155,26319,31372,2034,8115,16814,205146,48,75,1377,265,3975,52419,481,106241,1422,844,289130,588695,181746,128767,111124,4771,412,173027,308,32978,324,5218,2072,9421,478
CP000029.1,5400,0,6580,5729,87809,21363,12284,248124,68089,124889,46051,6695,8009,3479,17949,2886,2396,169,8245,6610,77880,45921,41005,25233,28633,9623,16171,37560,14415,6024,17921,43944,122767,831,937,16114,4737,23510,105447,3775,183754,44008,98065,11583,1855,1031,112306,9411,4780,182408,38104,115143,88294,66408,22533,16,436,191,358928,8050,7854,77316,5877,168,9118,698162,9303,3911,135,60831,14583,109,5432,5973,122,4245,211,140,254,5061,69893,3800,128278,6929,1648,101,1117,111416,146272,19557,248136,310,13882,73785,12611,5414,22193,185,111,3324,25153,46383,171,304,18904,25654,21728,2033,752,53933,45896,290698,84432,62104,12513,44340,77,16992,5007,20353,8529,312,490,85,558,2733,153767,6810,11781,18841,71836,27154,4510,26768,3356,29522,22682,15011,71,74,3010,1695,8102,721,115,219,235,19659,86291,21627,5537,23191,4905,186042,818753,183209,4874,41597,2697,1976,5834,39406,45751,32039,2300,461,29577,16844,52426,75224,10074,62251,39292,250,373,37,19822,14608,4690,2914,5879,7798,38,852,6016,1116,305,19908,6242,67002,31003,128925,70758,167003,279822,118168,168671,1330,1936,18721,152891,58127,11947,11305,68439,27147,606,3445,1029,15180,45771,282010,36377,57836,135193,21009,12782,9050,91484,13104,7078,54841,115457,36376,61807,170801,7214,1573,73981,544,97014,38840,857269,25333,7748,50947,913,272,411,17691,647,3960,21842,19040,17773,3392,370471,64639,625,291,2654,179497,21723,11816,3597,55511,87,76,971,724,6376,17570,3673,1028,3571,79933,16983,33376,41505,235,1606,5737,2954,319962,5931,3118,96995,2528,457,138058,18925,572,3556,27835,35109,11142,564351,113106,6391,4456,198919,10982,314,2960,383274,242,192,173,7921,53951,1277,168819,69223,25005,27717,7790,2385,27440,5655,9514,116980,352,34347,156140,62597,23126,9954,65102,6512,11258,19941,23527,46414,37813,109326,21799,186,5144,47317,293,46411,19596,1095,54987,237,59993,111,5591,1502,50765,12270,22819,7542,59631,4595,13440,2074,9958,1281,13252,2842,23411,778151,853,27802,107811,144437,1578,3567,50685,32432,174393,45799,134081,47765,534188,78793,131355,5311,24535,3693,6459,1697,236,543799,1219,496,5386,287,515,462,459,320099,413,466,5247,236,47725,222126,4937,556,289,395,37858,14373,138,973,127,43,4167,6546,31,9624,1121,2639,879,1117,35402,4128,13926,3387,7227,74,6378,2126,79987,262,6288,2146,209,423,360,117,15711,195,362,300,160,2271,18206,260,394,902778,269,515,12528,381113,16326,10454,13757,2174,485,5588,624,19560,24836,1388,125815,124018,1022,402,690,1084,2868,381,602,1904,393653,10741,5836,23635,592,400,221826,1299,481,402494,78740,379,2478,6493,649,84853,644,88689,656,681,12693,255,184419,20732,23407,4965,125,2701,134,20190,368,3659,1574,1105,51200,852,32886,292,159,301,21917,422,307097,190975,198375,127253,5527,704,760,402,2705,12224,463480,32750,587,2469,702,4979,1038,466,527,1577,22968,9,9217,3712,1911,1179,1485,4194,22078,45,32,21,1358,1891,111983,32,5193,26,19,75,147,302,496,328,675,1113,34478,42911,84496,282,523,29021,63045,132028,2205,29996,745,124626,2406,52086,14216,205070,12177,706,74,12983,70,2142,4864,104838,2445,46,66050,240,63367,175,33629,147,101115,67,121,2724,103,71,76,799,18870,239,102727,18287,10071,88,29045,172,25988,31090,1892,8182,16912,204399,49,70,1430,235,4157,52401,395,105901,1408,913,289711,588243,181479,128367,110861,4746,414,173413,264,33497,342,4976,2043,9486,437
KX077896.1,3578,0,1538,15196,27835,30515,12816,39232,16531,13165,38918,4092,93,576,1245,7088,1092,2814,5349,10706,15337,152596,21647,15299,3244,2333,7294,3771,5350,7778,1697,16426,5611,1381,514,4404,3649,932,29037,9538,16859,1600,13712,24301,2713,516,24235,183,3101,99227,26206,41615,93625,10424,33,2,105,52,46,58,2582,12565,3111,23,7536,57908,4246,2296,13,8646,16,6,16898,19,12,26,14,24,7,8,3347,15610,18212,8303,7052,19,956,1324,4964,29,8661,17,14236,25656,2130,2161,28,68,28,38,35733,64903,835,10,128,11,8400,1227,3054,2923,10548,26114,35399,2091,267,2090,6,8730,7491,2400,34,26,20,30,53,386,5170,20908,1823,1059,705,58451,572,1779,748,205,67,8412,13,18,7731,7,17,13,13,47710,577,24,4306,5107,259,1393,13386,8694,19896,19680,1099,44,231,6377,9260,7779,29464,18,84,172,15,2409,528,3753,7174,723,56916,4,27,10,2748,3722,1384,12,2272,231,9,990,8,7908,5244,12345,598,1440,901,43089,73084,81532,22547,18269,8632,267,1054,2635,11009,12741,1996,4614,34760,1281,127,168,5511,11235,23768,80652,59970,12880,18965,360,1652,1466,15522,10389,534,14582,13221,15610,176,1377,2688,10948,50,1860,33480,14712,24104,192266,117788,11767,654,59,12935,5295,528,1487,2921,24999,16301,505,45,166,393,944,5707,107549,73731,13212,38098,4680,48,48,9218,59,2114,3073,16434,7240,2753,44694,51,8058,4476,46,1418,421,4696,81197,131280,60647,60,275,42,86,49,1133,8089,1617,22445,1007,54112,15537,1602,243,2154,2705,9460,246,35970,20,17,1136,263,5585,174,4565,1007,5657,62,6,1739,531,12,12385,62344,35,5931,2983,22448,464,615,1217,6469,1798,11679,1467,16523,14766,1544,9237,20,726,1698,46,14143,11512,47,6574,50,31649,80,53,24,41227,203,9936,676,50462,7854,8957,49,7295,16877,2307,41,85109,243368,256,21978,9628,35986,811,2983,21527,51806,12986,28811,21390,109863,183775,206,37611,1067,9942,14199,2286,8952,6267,1031,563,70,66106,21,15,26,5170,21,1030,31,4404,3271,3359,1860,25,25,1700,24,8181,20945,1062,47,486,39,10029,240,34,68642,2749,75,34297,10110,4044,11514,58,29,7167,69,1874,9,20309,24,22964,15,16,1258,4284,10,33,12,70,15,3364,31,13121,17,13,13477,28,96,23464,31495,656,4533,39101,54869,1909,106,104,20539,1806,133,3913,3504,4026,56,5225,185,44,69,78,5826,210,364,2988,91,3863,134,123,117177,21684,682,139367,1146,3810,2057,134,28712,176,63,104,197,11987,108196,79,4468,3327,10733,7831,1402,84,3246,5838,10186,56302,9332,898,110,11409,186,69,1562,8638,112,149153,8964,1778,253,2848,196,376,115,75800,171,13703,90189,278,7793,359,16812,372,164,780,172078,35492,14,29,1781,44941,4755,20264,16954,14,2430,49,47,7726,20009,10227,48,21436,27,18,31,30,521,546,521,1051,12761,82131,69838,158836,124924,5506,38731,105934,60525,20188,4847,1099,64193,2042,145054,371862,58305,71724,2126,41,17608,55,45,2942,4378,34,24,35,32,4156,17840,1454,15583,47388,22,66,361,76,71,82,243,5019,20568,103717,26077,217,90,81011,146,3270,76480,91,63,118,90290,46,67,5237,158,14282,912,22,20,3505,25,19,39,17,26,21,38262,31,68,21,126,24,26,839,38,4267
MK359990.1,3640,0,1574,15166,27604,30375,13235,38943,16373,13214,38763,4069,64,524,1153,6975,1122,2639,5289,10592,15287,152081,21717,14878,3333,2280,7277,3802,5510,7568,1782,16244,5702,1345,534,4398,3751,965,29070,9255,16276,1617,13012,23893,2569,494,24199,168,2965,97686,26313,42256,94379,10746,53,2,96,55,52,59,2489,12347,2978,19,7466,57644,4264,2246,10,8458,25,12,16886,19,14,26,23,17,16,12,3242,16071,17859,8181,6903,19,1032,1247,5076,34,8876,29,14468,25645,1990,2081,33,43,32,35,35776,62884,758,9,115,11,8184,1269,3059,3081,10488,26207,35269,1994,265,2122,9,8749,7196,2328,29,22,26,29,35,369,5004,20862,1643,1054,718,58499,533,1546,808,204,81,8167,18,10,7712,10,16,17,16,47675,536,22,4247,5101,263,1429,13256,8682,19712,19155,1025,46,189,6480,9295,7572,29372,20,92,171,10,2452,511,3729,7436,665,56813,10,24,12,2777,3545,1459,22,2188,214,13,869,6,7789,5357,11908,567,1536,933,42986,73013,80876,22386,18036,8442,315,1042,2621,11027,12436,2082,4408,34573,1214,116,138,5362,10984,23233,78144,59850,12682,18923,307,1635,1512,15468,9976,569,14363,13325,15663,143,1350,2593,10969,43,1902,33027,14356,23228,192810,117122,11928,653,52,12777,5148,490,1528,2856,24910,15772,475,46,178,447,937,5663,106470,73687,13066,38370,4779,53,41,9069,48,2227,2964,16480,7111,2473,44741,68,8008,4440,38,1469,397,4814,78968,130267,60549,57,268,34,94,46,1107,7896,1615,22595,959,54097,15547,1611,255,2095,2483,9433,280,35439,21,8,1154,253,5435,161,4248,985,5590,75,14,1746,556,14,12408,60368,38,5958,2925,21939,483,587,1131,6420,1674,11403,1587,16310,14463,1481,9240,33,680,1718,35,14283,11335,35,6732,50,31850,69,47,36,41163,243,9927,658,49779,7761,9072,55,7293,16926,2308,52,84373,237526,232,21777,9774,35473,793,2816,21742,51513,12682,28859,21071,110042,180339,195,37093,1115,9872,14234,2375,8838,6074,1032,525,76,66097,20,19,15,5104,23,955,34,4462,3130,3424,1826,20,29,1643,23,8236,20203,993,47,500,26,9696,231,17,68425,2723,85,33396,9918,4122,11552,44,23,7273,61,1886,8,20071,25,22869,11,12,1308,4338,12,22,14,74,16,3469,35,13235,20,16,13484,15,101,23365,31577,651,4492,39260,53534,1967,107,109,19963,1817,117,3809,3545,3985,41,5376,154,45,61,73,5957,214,327,3014,123,3749,123,97,118115,21096,636,137156,1169,3724,1873,126,28289,150,78,101,196,12114,107121,80,4329,3329,10958,7959,1450,86,3210,5533,10215,55650,9032,824,131,10815,207,62,1499,8615,111,145509,9103,1775,230,2895,206,335,121,76349,175,13329,90062,332,7588,345,16885,386,141,738,173255,35331,22,19,1710,45314,4508,19509,17119,20,2332,46,49,7268,19806,9667,30,21334,33,20,41,35,496,511,570,1013,12116,79443,69508,157599,125428,5444,38013,105642,60729,19766,4743,1154,63352,2005,143838,370183,58584,71310,2010,37,17397,65,42,2963,4277,34,23,36,41,4117,16996,1391,15691,47714,26,54,357,72,91,89,252,4981,20525,94040,25610,219,90,78986,157,3299,76648,91,72,102,89684,35,53,5057,141,14370,888,19,35,3602,34,28,40,20,28,28,37603,34,89,25,109,22,25,859,21,4137
MN693290.1,1348,0,3707,2761,2430,3320,2049,2205,1963,2840,2930,2545,980,2119,2470,2643,2491,1682,2456,2499,2150,1651,2348,1420,2130,1956,1893,2151,1972,2607,2175,1798,1837,2530,1812,2326,2296,1541,2773,1775,2335,1807,2802,3658,2708,138,3157,2564,3511,2893,3355,3187,3074,2482,2259,2,5498,2953,2367,2581,120,1865,1316,982,1333,13523,1604,1453,1393,1232,700,1141,1379,1385,1034,1523,1345,1164,1217,1318,1822,1220,1827,1649,1981,1677,1936,2533,2672,2661,2598,1814,2835,2313,2455,1991,2345,2310,2611,3458,1941,2649,2094,1984,2045,2154,2122,2203,2360,2139,2574,2796,2678,1953,2361,3192,1995,2610,2925,2604,2855,2049,4402,2355,1696,1562,1375,1518,1846,1425,1584,1651,1690,2047,2092,1389,1774,1241,1582,1436,3544,1853,1589,2053,1779,1842,2199,1004,2402,2738,2280,1946,1915,2163,2542,2486,2542,2328,2292,2743,2378,2290,2575,1888,2091,1039,1399,1634,1411,1464,1864,1490,1287,1249,1282,1267,1139,1613,1783,1649,1539,1384,1618,1250,1360,2963,2676,2586,2728,2546,3189,2854,3329,2736,3640,2922,3505,1275,2813,2633,2761,2555,2472,2704,3022,2535,1133,1483,1422,1514,1446,1530,1704,1257,1099,1364,1387,1217,1480,1847,1552,1468,1503,1324,1118,1190,1533,3861,3707,4598,4594,4419,4312,5249,3983,4274,5141,4166,5267,4913,5080,6318,4971,5302,4987,5362,4141,4719,3858,4145,4107,4951,3621,3307,3812,3547,4492,4360,4443,4679,4754,4681,4548,5827,4139,4903,4820,4048,5694,6493,6141,6428,5375,8784,6884,5444,5633,7353,5434,7208,6405,7442,5615,7866,6630,6949,7767,6274,6499,4301,5501,5556,4993,4665,4857,5826,5276,5047,7241,8516,7040,6117,5462,5362,4866,5589,5830,6452,7786,6404,6480,6014,6603,6567,6290,7672,6053,6508,6824,6389,5253,6587,7556,6587,6136,7709,6181,7778,6846,7325,4670,4771,5044,4973,4652,5353,4537,4554,3871,5758,5793,4395,5149,5930,5774,5543,5212,4567,5854,5736,5210,687,606,866,587,662,588,644,469,481,725,768,701,603,776,870,1197,956,579,736,692,639,337,268,261,334,357,492,329,279,365,350,333,287,302,498,415,628,497,351,511,461,423,336,354,336,402,330,323,238,277,243,441,297,324,438,415,322,656,509,266,557,347,454,343,347,300,465,218,254,298,354,275,301,335,237,271,399,324,514,326,327,385,255,464,818,771,694,771,818,593,719,648,573,638,685,716,796,910,773,918,921,119,970,610,643,332,371,475,526,360,559,409,427,358,351,521,418,452,480,483,556,583,422,590,380,314,461,420,521,629,583,564,528,456,490,508,553,378,680,550,547,564,459,252,581,646,475,241,263,273,240,288,348,262,236,194,256,283,236,326,213,221,353,331,116,280,282,338,745,662,937,736,691,791,799,590,614,927,1230,600,700,907,813,1232,1124,746,994,895,696,327,457,190,214,546,504,722,782,709,459,867,693,522,902,586,1167,683,828,947,739,830,187,117,208,236,218,206,212,177,161,232,223,128,191,271,192,314,321,232,216,221,240,276,308,236,238,338,285,275,205,213,261,180,205,328,300,228,251,382,201,279,282,286,202,269,158,254,299,242,173,168,145,234,181,258,207,263,273,383,345,204,347,355,266
CP001844.2,48,0,313,61,67367,181,39,2977,180,299,390,99,17,37,28,15,36,14,19,24,151,9273,7,773,17,5,73,33,11,22,35,7,63,22,328,6,9,6,102,34,1975,0,41,221,1137,16,49,58,2,64,113,2931,5215,0,41,0,7,6,2,6,0,1337,222,3,30,12,4,2,0,1,6,1,36,0,0,22,0,2,13,1,0,138,1540,803,28,1,0,5,2,3742,29,0,1,96,5,3,2,1,0,119,6,1053,8,18,56,28,11,7,11,260,24,1136,35,15,23287,65394,21067,98,81,1577,75,51,30,294,7775,36,80,39,526,667,108908,517,866,527,956,27,319,207,30,24,84,13,30,92,0,1,4,0,217,54,6,5,615,861,124,286,67,956,359,1,24,867,2,9,440,0,606,15,12,2061,142,5353,557,4,0,4,1107,551,193,2,39,872,1,2,103,18,2,99,14,888,67,875,552,973,2089,874,584,1161,3533,192,4450,2265,88,2,421,30,1242,1308,51,46,199,724,243,40,804,4525,6836,679,377,2535,1734,1861,2064,1850,90,23,402,15,29,7,171,33,328,1917,134,2014,2662,395,11,845,1166,134,2267,212,308,16,309,13,33,96,179,789,2400,126,79,70,0,5,1046,26,177,819,2727,18,139,2,8,5434,2359,6,203,28,56,9150,7124,407,7,104,2,1342,26,3958,71,22,636,41,5660,6744,10,0,51,12,76,92,59,101,149,0,11,301,6,1197,4640,145,47,1,24,3,9,1357,476,4,1078,2,109,9,7,180,12,0,178,9,395,1617,691,316,0,39,54,5,76,31,2,119,2,3528,1,27,1,265,2,1218,126,1787,61,16,1,2,3,13,1,68,1791,5,217,29,3987,42,60,124,1721,294,175,1020,5791,3329,59,593,266,103,213,168,1,0,11,1,0,10,380,1,0,1,0,1,55,113,1,0,5,0,0,0,0,0,0,2,0,0,5,0,0,0,7,0,0,0,0,7,0,0,0,0,0,1,0,317,0,0,100,0,0,0,0,1,0,2,0,0,0,1,2,1430,0,0,2,1,0,694,1,2,4,0,2581,0,1,2,187,0,4,2,2,0,3,0,2,1,0,0,0,11,0,0,0,0,4,0,0,127,0,56,163,1,8,0,0,0,0,29,71,86900,64,37,40,22,1189,30,47,54,93,387,24,25,49,60,62,43,7927,696,0,3,0,2,20,1,0,0,0,0,0,0,94,5,0,5,2965,2,1,2,2,4,0,3,3,0,2,0,0,0,0,0,0,0,0,77,0,2,0,0,0,0,6,6,6,25,9,302,69,87,5,6,104,1193,9235,15,23,350,21,927,1746,209,57,3,8,5,37,13,5,10,41834,3,5,5,62,14,6,120,8,63,3,9,4,10,0,2,2,0,0,4,101,959,5,2,5,3,2,11,3,2,1684,0,0,3788,2,2,24,6,2,429,11,4,12,5,3,15,7,1,6,4,24942,9,3,19,36,33
